campaign_record_id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed,subscription_flag,default_flag,housing_loan_flag,personal_loan_flag,previously_contacted,days_since_previous_contact,age_group,age_group_order,balance_band,balance_band_order,negative_balance_flag,campaign_contact_band,campaign_contact_band_order,contact_duration_minutes,previous_campaign_status,previous_campaign_success_flag,loan_profile,active_loan_count,contact_known_flag,contact_month_num,contact_quarter
11,41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,3.7,No previous contact,0,Housing loan only,1,0,5,Q2
12,29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,no,0,0,1,0,0,,18-29,1,"0-1,000",2,0,1 contact,1,2.28,No previous contact,0,Housing loan only,1,0,5,Q2
13,53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,8.62,No previous contact,0,Housing loan only,1,0,5,Q2
14,58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,1.18,No previous contact,0,Housing loan only,1,0,5,Q2
15,57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,2.9,No previous contact,0,Housing loan only,1,0,5,Q2
16,51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,5.88,No previous contact,0,Housing loan only,1,0,5,Q2
17,45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,1.63,No previous contact,0,Housing loan only,1,0,5,Q2
18,57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,0.63,No previous contact,0,Housing loan only,1,0,5,Q2
19,60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no,0,0,1,0,0,,60+,5,"0-1,000",2,0,1 contact,1,3.65,No previous contact,0,Housing loan only,1,0,5,Q2
20,33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,0.9,No previous contact,0,Housing loan only,1,0,5,Q2
21,28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no,0,0,1,1,0,,18-29,1,"0-1,000",2,0,1 contact,1,4.37,No previous contact,0,Housing + personal loans,2,0,5,Q2
22,56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,2.73,No previous contact,0,Housing loan only,1,0,5,Q2
23,32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no,0,0,1,1,0,,30-39,2,"0-1,000",2,0,1 contact,1,2.67,No previous contact,0,Housing + personal loans,2,0,5,Q2
24,25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no,0,0,1,0,0,,18-29,1,"0-1,000",2,0,1 contact,1,5.7,No previous contact,0,Housing loan only,1,0,5,Q2
25,40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no,0,0,1,1,0,,40-49,3,"0-1,000",2,0,1 contact,1,3.02,No previous contact,0,Housing + personal loans,2,0,5,Q2
26,44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,Negative,1,1,1 contact,1,2.87,No previous contact,0,Housing loan only,1,0,5,Q2
27,39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,4.93,No previous contact,0,Housing loan only,1,0,5,Q2
28,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no,0,0,1,1,0,,50-59,4,"0-1,000",2,0,1 contact,1,2.12,No previous contact,0,Housing + personal loans,2,0,5,Q2
29,46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no,0,0,1,0,0,,40-49,3,Negative,1,1,2-3 contacts,2,4.25,No previous contact,0,Housing loan only,1,0,5,Q2
30,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no,0,0,1,1,0,,30-39,2,"0-1,000",2,0,1 contact,1,5.8,No previous contact,0,Housing + personal loans,2,0,5,Q2
31,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no,0,0,0,1,0,,50-59,4,"0-1,000",2,0,1 contact,1,3.75,No previous contact,0,Personal loan only,1,0,5,Q2
32,49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,3.83,No previous contact,0,Housing loan only,1,0,5,Q2
33,60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no,0,0,1,1,0,,60+,5,"0-1,000",2,0,1 contact,1,3.47,No previous contact,0,Housing + personal loans,2,0,5,Q2
34,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,3.77,No previous contact,0,Housing loan only,1,0,5,Q2
35,51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"10,001+",5,0,1 contact,1,5.6,No previous contact,0,Housing loan only,1,0,5,Q2
36,57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,4.03,No previous contact,0,Housing loan only,1,0,5,Q2
37,25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no,0,0,1,0,0,,18-29,1,Negative,1,1,1 contact,1,6.08,No previous contact,0,Housing loan only,1,0,5,Q2
38,53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no,0,0,0,0,0,,50-59,4,Negative,1,1,1 contact,1,27.77,No previous contact,0,No loans,0,0,5,Q2
39,36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,9.62,No previous contact,0,Housing loan only,1,0,5,Q2
40,37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,2.28,No previous contact,0,Housing loan only,1,0,5,Q2
41,44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"1,001-5,000",3,0,1 contact,1,2.67,No previous contact,0,Housing loan only,1,0,5,Q2
42,50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,2-3 contacts,2,3.0,No previous contact,0,Housing loan only,1,0,5,Q2
43,60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no,0,0,1,0,0,,60+,5,"0-1,000",2,0,1 contact,1,0.37,No previous contact,0,Housing loan only,1,0,5,Q2
44,54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,24.87,No previous contact,0,Housing loan only,1,0,5,Q2
45,58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,10.27,No previous contact,0,Housing loan only,1,0,5,Q2
46,36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,Negative,1,1,1 contact,1,4.03,No previous contact,0,Housing loan only,1,0,5,Q2
47,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,Negative,1,1,1 contact,1,5.92,No previous contact,0,Housing loan only,1,0,5,Q2
48,44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,2-3 contacts,2,3.75,No previous contact,0,Housing loan only,1,0,5,Q2
49,55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no,0,0,0,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,2.67,No previous contact,0,No loans,0,0,5,Q2
50,29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown,no,0,0,1,0,0,,18-29,1,"0-1,000",2,0,1 contact,1,6.05,No previous contact,0,Housing loan only,1,0,5,Q2
51,54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"1,001-5,000",3,0,1 contact,1,4.43,No previous contact,0,Housing loan only,1,0,5,Q2
52,48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,Negative,1,1,1 contact,1,4.22,No previous contact,0,Housing loan only,1,0,5,Q2
53,32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,2.98,No previous contact,0,Housing loan only,1,0,5,Q2
54,42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,Negative,1,1,1 contact,1,13.12,No previous contact,0,Housing loan only,1,0,5,Q2
55,24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no,0,0,1,1,0,,18-29,1,Negative,1,1,1 contact,1,2.42,No previous contact,0,Housing + personal loans,2,0,5,Q2
56,38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,no,0,0,0,1,0,,30-39,2,"0-1,000",2,0,1 contact,1,2.9,No previous contact,0,Personal loan only,1,0,5,Q2
57,38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,1.73,No previous contact,0,Housing loan only,1,0,5,Q2
58,47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,0.22,No previous contact,0,Housing loan only,1,0,5,Q2
59,40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,3.08,No previous contact,0,Housing loan only,1,0,5,Q2
60,46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,29.63,No previous contact,0,Housing loan only,1,0,5,Q2
61,32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,2.3,No previous contact,0,Housing loan only,1,0,5,Q2
62,53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,13.53,No previous contact,0,Housing loan only,1,0,5,Q2
63,57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,164,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,2.73,No previous contact,0,Housing loan only,1,0,5,Q2
64,33,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,6.52,No previous contact,0,Housing loan only,1,0,5,Q2
65,49,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,357,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,5.95,No previous contact,0,Housing loan only,1,0,5,Q2
66,51,management,married,tertiary,no,6530,yes,no,unknown,5,may,91,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"5,001-10,000",4,0,1 contact,1,1.52,No previous contact,0,Housing loan only,1,0,5,Q2
67,60,retired,married,tertiary,no,100,no,no,unknown,5,may,528,1,-1,0,unknown,no,0,0,0,0,0,,60+,5,"0-1,000",2,0,1 contact,1,8.8,No previous contact,0,No loans,0,0,5,Q2
68,59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,4.55,No previous contact,0,Housing loan only,1,0,5,Q2
69,55,technician,married,secondary,no,1205,yes,no,unknown,5,may,158,2,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"1,001-5,000",3,0,2-3 contacts,2,2.63,No previous contact,0,Housing loan only,1,0,5,Q2
70,35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,may,177,1,-1,0,unknown,no,0,0,1,1,0,,30-39,2,"10,001+",5,0,1 contact,1,2.95,No previous contact,0,Housing + personal loans,2,0,5,Q2
71,57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,258,1,-1,0,unknown,no,0,0,1,1,0,,50-59,4,"5,001-10,000",4,0,1 contact,1,4.3,No previous contact,0,Housing + personal loans,2,0,5,Q2
72,31,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,-1,0,unknown,no,0,0,1,1,0,,30-39,2,"0-1,000",2,0,1 contact,1,2.87,No previous contact,0,Housing + personal loans,2,0,5,Q2
73,54,management,married,secondary,no,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,no,0,0,1,1,0,,50-59,4,"0-1,000",2,0,1 contact,1,2.57,No previous contact,0,Housing + personal loans,2,0,5,Q2
74,55,blue-collar,married,primary,no,23,yes,no,unknown,5,may,291,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,4.85,No previous contact,0,Housing loan only,1,0,5,Q2
75,43,technician,married,secondary,no,1937,yes,no,unknown,5,may,181,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"1,001-5,000",3,0,1 contact,1,3.02,No previous contact,0,Housing loan only,1,0,5,Q2
76,53,technician,married,secondary,no,384,yes,no,unknown,5,may,176,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,2.93,No previous contact,0,Housing loan only,1,0,5,Q2
77,44,blue-collar,married,secondary,no,582,no,yes,unknown,5,may,211,1,-1,0,unknown,no,0,0,0,1,0,,40-49,3,"0-1,000",2,0,1 contact,1,3.52,No previous contact,0,Personal loan only,1,0,5,Q2
78,55,services,divorced,secondary,no,91,no,no,unknown,5,may,349,1,-1,0,unknown,no,0,0,0,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,5.82,No previous contact,0,No loans,0,0,5,Q2
79,49,services,divorced,secondary,no,0,yes,yes,unknown,5,may,272,1,-1,0,unknown,no,0,0,1,1,0,,40-49,3,"0-1,000",2,0,1 contact,1,4.53,No previous contact,0,Housing + personal loans,2,0,5,Q2
80,55,services,divorced,secondary,yes,1,yes,no,unknown,5,may,208,1,-1,0,unknown,no,0,1,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,3.47,No previous contact,0,Housing loan only,1,0,5,Q2
81,45,admin.,single,secondary,no,206,yes,no,unknown,5,may,193,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,3.22,No previous contact,0,Housing loan only,1,0,5,Q2
82,47,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,-1,0,unknown,no,0,0,0,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,3.53,No previous contact,0,No loans,0,0,5,Q2
83,42,technician,single,secondary,no,690,yes,no,unknown,5,may,20,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,0.33,No previous contact,0,Housing loan only,1,0,5,Q2
84,59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes,1,0,1,0,0,,50-59,4,"1,001-5,000",3,0,1 contact,1,17.37,No previous contact,0,Housing loan only,1,0,5,Q2
85,46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,no,0,0,1,1,0,,40-49,3,"0-1,000",2,0,1 contact,1,4.1,No previous contact,0,Housing + personal loans,2,0,5,Q2
86,51,blue-collar,married,primary,no,173,yes,no,unknown,5,may,529,2,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,2-3 contacts,2,8.82,No previous contact,0,Housing loan only,1,0,5,Q2
87,56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,yes,1,0,0,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,24.45,No previous contact,0,No loans,0,0,5,Q2
88,41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes,1,0,1,0,0,,40-49,3,"1,001-5,000",3,0,1 contact,1,23.15,No previous contact,0,Housing loan only,1,0,5,Q2
89,46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,no,0,0,1,1,0,,40-49,3,"0-1,000",2,0,2-3 contacts,2,3.13,No previous contact,0,Housing + personal loans,2,0,5,Q2
90,57,retired,married,secondary,no,486,yes,no,unknown,5,may,180,2,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,2-3 contacts,2,3.0,No previous contact,0,Housing loan only,1,0,5,Q2
91,42,management,single,secondary,no,50,no,no,unknown,5,may,48,1,-1,0,unknown,no,0,0,0,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,0.8,No previous contact,0,No loans,0,0,5,Q2
92,30,technician,married,secondary,no,152,yes,yes,unknown,5,may,213,2,-1,0,unknown,no,0,0,1,1,0,,30-39,2,"0-1,000",2,0,2-3 contacts,2,3.55,No previous contact,0,Housing + personal loans,2,0,5,Q2
93,60,admin.,married,secondary,no,290,yes,no,unknown,5,may,583,1,-1,0,unknown,no,0,0,1,0,0,,60+,5,"0-1,000",2,0,1 contact,1,9.72,No previous contact,0,Housing loan only,1,0,5,Q2
94,60,blue-collar,married,unknown,no,54,yes,no,unknown,5,may,221,1,-1,0,unknown,no,0,0,1,0,0,,60+,5,"0-1,000",2,0,1 contact,1,3.68,No previous contact,0,Housing loan only,1,0,5,Q2
95,57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,173,1,-1,0,unknown,no,0,0,0,0,0,,50-59,4,Negative,1,1,1 contact,1,2.88,No previous contact,0,No loans,0,0,5,Q2
96,36,management,married,tertiary,no,101,yes,yes,unknown,5,may,426,1,-1,0,unknown,no,0,0,1,1,0,,30-39,2,"0-1,000",2,0,1 contact,1,7.1,No previous contact,0,Housing + personal loans,2,0,5,Q2
97,55,blue-collar,married,secondary,no,383,no,no,unknown,5,may,287,1,-1,0,unknown,no,0,0,0,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,4.78,No previous contact,0,No loans,0,0,5,Q2
98,60,retired,married,tertiary,no,81,yes,no,unknown,5,may,101,1,-1,0,unknown,no,0,0,1,0,0,,60+,5,"0-1,000",2,0,1 contact,1,1.68,No previous contact,0,Housing loan only,1,0,5,Q2
99,39,technician,married,secondary,no,0,yes,no,unknown,5,may,203,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,3.38,No previous contact,0,Housing loan only,1,0,5,Q2
100,46,management,married,tertiary,no,229,yes,no,unknown,5,may,197,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,3.28,No previous contact,0,Housing loan only,1,0,5,Q2
101,44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,257,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,Negative,1,1,1 contact,1,4.28,No previous contact,0,Housing loan only,1,0,5,Q2
102,53,blue-collar,married,primary,no,90,no,no,unknown,5,may,124,1,-1,0,unknown,no,0,0,0,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,2.07,No previous contact,0,No loans,0,0,5,Q2
103,52,blue-collar,married,primary,no,128,yes,no,unknown,5,may,229,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,3.82,No previous contact,0,Housing loan only,1,0,5,Q2
104,59,blue-collar,married,primary,no,179,yes,no,unknown,5,may,55,3,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,2-3 contacts,2,0.92,No previous contact,0,Housing loan only,1,0,5,Q2
105,27,technician,single,tertiary,no,0,yes,no,unknown,5,may,400,1,-1,0,unknown,no,0,0,1,0,0,,18-29,1,"0-1,000",2,0,1 contact,1,6.67,No previous contact,0,Housing loan only,1,0,5,Q2
106,44,blue-collar,married,secondary,no,54,yes,no,unknown,5,may,197,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,3.28,No previous contact,0,Housing loan only,1,0,5,Q2
107,47,technician,married,tertiary,no,151,yes,no,unknown,5,may,190,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,3.17,No previous contact,0,Housing loan only,1,0,5,Q2
108,34,admin.,married,secondary,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown,no,0,0,0,1,0,,30-39,2,"0-1,000",2,0,1 contact,1,0.35,No previous contact,0,Personal loan only,1,0,5,Q2
109,59,retired,single,secondary,no,30,yes,no,unknown,5,may,514,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,8.57,No previous contact,0,Housing loan only,1,0,5,Q2
110,45,management,married,tertiary,no,523,yes,no,unknown,5,may,849,2,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,2-3 contacts,2,14.15,No previous contact,0,Housing loan only,1,0,5,Q2
111,29,services,divorced,secondary,no,31,yes,no,unknown,5,may,194,1,-1,0,unknown,no,0,0,1,0,0,,18-29,1,"0-1,000",2,0,1 contact,1,3.23,No previous contact,0,Housing loan only,1,0,5,Q2
112,46,technician,divorced,secondary,no,79,no,no,unknown,5,may,144,1,-1,0,unknown,no,0,0,0,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,2.4,No previous contact,0,No loans,0,0,5,Q2
113,56,self-employed,married,primary,no,-34,yes,yes,unknown,5,may,212,2,-1,0,unknown,no,0,0,1,1,0,,50-59,4,Negative,1,1,2-3 contacts,2,3.53,No previous contact,0,Housing + personal loans,2,0,5,Q2
114,36,blue-collar,married,primary,no,448,yes,no,unknown,5,may,286,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,4.77,No previous contact,0,Housing loan only,1,0,5,Q2
115,59,retired,divorced,primary,no,81,yes,no,unknown,5,may,107,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,1.78,No previous contact,0,Housing loan only,1,0,5,Q2
116,44,blue-collar,married,secondary,no,144,yes,no,unknown,5,may,247,2,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,2-3 contacts,2,4.12,No previous contact,0,Housing loan only,1,0,5,Q2
117,41,admin.,married,secondary,no,351,yes,no,unknown,5,may,518,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,8.63,No previous contact,0,Housing loan only,1,0,5,Q2
118,33,management,single,tertiary,no,-67,yes,no,unknown,5,may,364,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,Negative,1,1,1 contact,1,6.07,No previous contact,0,Housing loan only,1,0,5,Q2
119,59,management,divorced,tertiary,no,262,no,no,unknown,5,may,178,1,-1,0,unknown,no,0,0,0,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,2.97,No previous contact,0,No loans,0,0,5,Q2
120,57,technician,married,primary,no,0,no,no,unknown,5,may,98,1,-1,0,unknown,no,0,0,0,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,1.63,No previous contact,0,No loans,0,0,5,Q2
121,56,technician,divorced,unknown,no,56,yes,no,unknown,5,may,439,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,7.32,No previous contact,0,Housing loan only,1,0,5,Q2
122,51,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,79,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,1.32,No previous contact,0,Housing loan only,1,0,5,Q2
