campaign_record_id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed,subscription_flag,default_flag,housing_loan_flag,personal_loan_flag,previously_contacted,days_since_previous_contact,age_group,age_group_order,balance_band,balance_band_order,negative_balance_flag,campaign_contact_band,campaign_contact_band_order,contact_duration_minutes,previous_campaign_status,previous_campaign_success_flag,loan_profile,active_loan_count,contact_known_flag,contact_month_num,contact_quarter,subscription_probability,subscription_probability_pct,priority_target_flag,priority_target_status,propensity_band,propensity_band_order,propensity_decile,propensity_percentile
30,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no,0,0,1,1,0,,30-39,2,"0-1,000",2,0,1 contact,1,5.8,No previous contact,0,Housing + personal loans,2,0,5,Q2,0.1970821895052697,19.71,0,Below Target Threshold,Low Propensity,1,9,14.91
31,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no,0,0,0,1,0,,50-59,4,"0-1,000",2,0,1 contact,1,3.75,No previous contact,0,Personal loan only,1,0,5,Q2,0.16934588029895448,16.93,0,Below Target Threshold,Low Propensity,1,10,8.89
32,49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,3.83,No previous contact,0,Housing loan only,1,0,5,Q2,0.1462198726645061,14.62,0,Below Target Threshold,Low Propensity,1,10,4.62
33,60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no,0,0,1,1,0,,60+,5,"0-1,000",2,0,1 contact,1,3.47,No previous contact,0,Housing + personal loans,2,0,5,Q2,0.16557319679888985,16.56,0,Below Target Threshold,Low Propensity,1,10,8.05
34,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,3.77,No previous contact,0,Housing loan only,1,0,5,Q2,0.20689923733683963,20.69,0,Below Target Threshold,Low Propensity,1,9,17.15
35,51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"10,001+",5,0,1 contact,1,5.6,No previous contact,0,Housing loan only,1,0,5,Q2,0.16513157910308662,16.51,0,Below Target Threshold,Low Propensity,1,10,7.96
36,57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,4.03,No previous contact,0,Housing loan only,1,0,5,Q2,0.17498996188755273,17.5,0,Below Target Threshold,Low Propensity,1,9,10.17
37,25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no,0,0,1,0,0,,18-29,1,Negative,1,1,1 contact,1,6.08,No previous contact,0,Housing loan only,1,0,5,Q2,0.18710837917068932,18.71,0,Below Target Threshold,Low Propensity,1,9,12.83
38,53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no,0,0,0,0,0,,50-59,4,Negative,1,1,1 contact,1,27.77,No previous contact,0,No loans,0,0,5,Q2,0.20397785724522324,20.4,0,Below Target Threshold,Low Propensity,1,9,16.5
39,36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,9.62,No previous contact,0,Housing loan only,1,0,5,Q2,0.2730894224714717,27.31,0,Below Target Threshold,Low Propensity,1,7,30.45
40,37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,2.28,No previous contact,0,Housing loan only,1,0,5,Q2,0.18840631958334209,18.84,0,Below Target Threshold,Low Propensity,1,9,13.09
41,44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"1,001-5,000",3,0,1 contact,1,2.67,No previous contact,0,Housing loan only,1,0,5,Q2,0.2257340611653342,22.57,0,Below Target Threshold,Low Propensity,1,8,21.05
42,50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,2-3 contacts,2,3.0,No previous contact,0,Housing loan only,1,0,5,Q2,0.11481420631667605,11.48,0,Below Target Threshold,Low Propensity,1,10,1.26
43,60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no,0,0,1,0,0,,60+,5,"0-1,000",2,0,1 contact,1,0.37,No previous contact,0,Housing loan only,1,0,5,Q2,0.1625823410123915,16.26,0,Below Target Threshold,Low Propensity,1,10,7.44
44,54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,24.87,No previous contact,0,Housing loan only,1,0,5,Q2,0.14464175595908213,14.46,0,Below Target Threshold,Low Propensity,1,10,4.36
45,58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,10.27,No previous contact,0,Housing loan only,1,0,5,Q2,0.11657932340624748,11.66,0,Below Target Threshold,Low Propensity,1,10,1.38
46,36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,Negative,1,1,1 contact,1,4.03,No previous contact,0,Housing loan only,1,0,5,Q2,0.15572031557300778,15.57,0,Below Target Threshold,Low Propensity,1,10,6.17
47,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,Negative,1,1,1 contact,1,5.92,No previous contact,0,Housing loan only,1,0,5,Q2,0.12438844054286483,12.44,0,Below Target Threshold,Low Propensity,1,10,2.06
48,44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,2-3 contacts,2,3.75,No previous contact,0,Housing loan only,1,0,5,Q2,0.15168327365613685,15.17,0,Below Target Threshold,Low Propensity,1,10,5.45
49,55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no,0,0,0,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,2.67,No previous contact,0,No loans,0,0,5,Q2,0.11998831972994121,12.0,0,Below Target Threshold,Low Propensity,1,10,1.64
50,29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown,no,0,0,1,0,0,,18-29,1,"0-1,000",2,0,1 contact,1,6.05,No previous contact,0,Housing loan only,1,0,5,Q2,0.22984628814240635,22.98,0,Below Target Threshold,Low Propensity,1,8,21.88
51,54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"1,001-5,000",3,0,1 contact,1,4.43,No previous contact,0,Housing loan only,1,0,5,Q2,0.19539260680647152,19.54,0,Below Target Threshold,Low Propensity,1,9,14.56
52,48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,Negative,1,1,1 contact,1,4.22,No previous contact,0,Housing loan only,1,0,5,Q2,0.23373216893003007,23.37,0,Below Target Threshold,Low Propensity,1,8,22.63
53,32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,2.98,No previous contact,0,Housing loan only,1,0,5,Q2,0.12154261674851853,12.15,0,Below Target Threshold,Low Propensity,1,10,1.77
54,42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,Negative,1,1,1 contact,1,13.12,No previous contact,0,Housing loan only,1,0,5,Q2,0.16717628661422848,16.72,0,Below Target Threshold,Low Propensity,1,10,8.42
55,24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no,0,0,1,1,0,,18-29,1,Negative,1,1,1 contact,1,2.42,No previous contact,0,Housing + personal loans,2,0,5,Q2,0.11421793740805194,11.42,0,Below Target Threshold,Low Propensity,1,10,1.21
56,38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,no,0,0,0,1,0,,30-39,2,"0-1,000",2,0,1 contact,1,2.9,No previous contact,0,Personal loan only,1,0,5,Q2,0.19261450598209867,19.26,0,Below Target Threshold,Low Propensity,1,9,14.0
57,38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,1.73,No previous contact,0,Housing loan only,1,0,5,Q2,0.2516924223648727,25.17,0,Below Target Threshold,Low Propensity,1,8,26.13
58,47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,0.22,No previous contact,0,Housing loan only,1,0,5,Q2,0.15273197440351188,15.27,0,Below Target Threshold,Low Propensity,1,10,5.61
59,40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,3.08,No previous contact,0,Housing loan only,1,0,5,Q2,0.163959546798529,16.4,0,Below Target Threshold,Low Propensity,1,10,7.71
60,46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,29.63,No previous contact,0,Housing loan only,1,0,5,Q2,0.1472799811341821,14.73,0,Below Target Threshold,Low Propensity,1,10,4.79
61,32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,2.3,No previous contact,0,Housing loan only,1,0,5,Q2,0.1373314981487615,13.73,0,Below Target Threshold,Low Propensity,1,10,3.39
62,53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,13.53,No previous contact,0,Housing loan only,1,0,5,Q2,0.21620962356486959,21.62,0,Below Target Threshold,Low Propensity,1,9,19.08
63,57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,164,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,2.73,No previous contact,0,Housing loan only,1,0,5,Q2,0.1555348474589821,15.55,0,Below Target Threshold,Low Propensity,1,10,6.13
64,33,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,6.52,No previous contact,0,Housing loan only,1,0,5,Q2,0.18776346707174943,18.78,0,Below Target Threshold,Low Propensity,1,9,12.97
65,49,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,357,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,5.95,No previous contact,0,Housing loan only,1,0,5,Q2,0.11323243169217617,11.32,0,Below Target Threshold,Low Propensity,1,10,1.14
66,51,management,married,tertiary,no,6530,yes,no,unknown,5,may,91,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"5,001-10,000",4,0,1 contact,1,1.52,No previous contact,0,Housing loan only,1,0,5,Q2,0.1652799751649207,16.53,0,Below Target Threshold,Low Propensity,1,10,8.0
67,60,retired,married,tertiary,no,100,no,no,unknown,5,may,528,1,-1,0,unknown,no,0,0,0,0,0,,60+,5,"0-1,000",2,0,1 contact,1,8.8,No previous contact,0,No loans,0,0,5,Q2,0.2549311607415221,25.49,0,Below Target Threshold,Low Propensity,1,8,26.73
68,59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,4.55,No previous contact,0,Housing loan only,1,0,5,Q2,0.21155519049930527,21.16,0,Below Target Threshold,Low Propensity,1,9,18.11
69,55,technician,married,secondary,no,1205,yes,no,unknown,5,may,158,2,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"1,001-5,000",3,0,2-3 contacts,2,2.63,No previous contact,0,Housing loan only,1,0,5,Q2,0.186188491049529,18.62,0,Below Target Threshold,Low Propensity,1,9,12.62
70,35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,may,177,1,-1,0,unknown,no,0,0,1,1,0,,30-39,2,"10,001+",5,0,1 contact,1,2.95,No previous contact,0,Housing + personal loans,2,0,5,Q2,0.195207175531288,19.52,0,Below Target Threshold,Low Propensity,1,9,14.52
71,57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,258,1,-1,0,unknown,no,0,0,1,1,0,,50-59,4,"5,001-10,000",4,0,1 contact,1,4.3,No previous contact,0,Housing + personal loans,2,0,5,Q2,0.17453396132465165,17.45,0,Below Target Threshold,Low Propensity,1,9,10.07
72,31,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,-1,0,unknown,no,0,0,1,1,0,,30-39,2,"0-1,000",2,0,1 contact,1,2.87,No previous contact,0,Housing + personal loans,2,0,5,Q2,0.1253040026361551,12.53,0,Below Target Threshold,Low Propensity,1,10,2.11
73,54,management,married,secondary,no,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,no,0,0,1,1,0,,50-59,4,"0-1,000",2,0,1 contact,1,2.57,No previous contact,0,Housing + personal loans,2,0,5,Q2,0.14811671660868855,14.81,0,Below Target Threshold,Low Propensity,1,10,4.9
74,55,blue-collar,married,primary,no,23,yes,no,unknown,5,may,291,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,4.85,No previous contact,0,Housing loan only,1,0,5,Q2,0.13464685326844492,13.46,0,Below Target Threshold,Low Propensity,1,10,3.07
75,43,technician,married,secondary,no,1937,yes,no,unknown,5,may,181,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"1,001-5,000",3,0,1 contact,1,3.02,No previous contact,0,Housing loan only,1,0,5,Q2,0.21053965371729283,21.05,0,Below Target Threshold,Low Propensity,1,9,17.92
76,53,technician,married,secondary,no,384,yes,no,unknown,5,may,176,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,2.93,No previous contact,0,Housing loan only,1,0,5,Q2,0.18201007656173368,18.2,0,Below Target Threshold,Low Propensity,1,9,11.63
77,44,blue-collar,married,secondary,no,582,no,yes,unknown,5,may,211,1,-1,0,unknown,no,0,0,0,1,0,,40-49,3,"0-1,000",2,0,1 contact,1,3.52,No previous contact,0,Personal loan only,1,0,5,Q2,0.1328791456643813,13.29,0,Below Target Threshold,Low Propensity,1,10,2.89
78,55,services,divorced,secondary,no,91,no,no,unknown,5,may,349,1,-1,0,unknown,no,0,0,0,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,5.82,No previous contact,0,No loans,0,0,5,Q2,0.17845612367719244,17.85,0,Below Target Threshold,Low Propensity,1,9,10.92
79,49,services,divorced,secondary,no,0,yes,yes,unknown,5,may,272,1,-1,0,unknown,no,0,0,1,1,0,,40-49,3,"0-1,000",2,0,1 contact,1,4.53,No previous contact,0,Housing + personal loans,2,0,5,Q2,0.20020870265526167,20.02,0,Below Target Threshold,Low Propensity,1,9,15.65
80,55,services,divorced,secondary,yes,1,yes,no,unknown,5,may,208,1,-1,0,unknown,no,0,1,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,3.47,No previous contact,0,Housing loan only,1,0,5,Q2,0.20409544639367666,20.41,0,Below Target Threshold,Low Propensity,1,9,16.52
81,45,admin.,single,secondary,no,206,yes,no,unknown,5,may,193,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,3.22,No previous contact,0,Housing loan only,1,0,5,Q2,0.19249141463631983,19.25,0,Below Target Threshold,Low Propensity,1,9,13.96
82,47,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,-1,0,unknown,no,0,0,0,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,3.53,No previous contact,0,No loans,0,0,5,Q2,0.18298576297170926,18.3,0,Below Target Threshold,Low Propensity,1,9,11.87
83,42,technician,single,secondary,no,690,yes,no,unknown,5,may,20,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,0.33,No previous contact,0,Housing loan only,1,0,5,Q2,0.29790790575991594,29.79,0,Below Target Threshold,Medium Propensity,2,7,35.98
84,59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes,1,0,1,0,0,,50-59,4,"1,001-5,000",3,0,1 contact,1,17.37,No previous contact,0,Housing loan only,1,0,5,Q2,0.19017572756595338,19.02,0,Below Target Threshold,Low Propensity,1,9,13.46
85,46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,no,0,0,1,1,0,,40-49,3,"0-1,000",2,0,1 contact,1,4.1,No previous contact,0,Housing + personal loans,2,0,5,Q2,0.13076717820758108,13.08,0,Below Target Threshold,Low Propensity,1,10,2.66
86,51,blue-collar,married,primary,no,173,yes,no,unknown,5,may,529,2,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,2-3 contacts,2,8.82,No previous contact,0,Housing loan only,1,0,5,Q2,0.12792287493493762,12.79,0,Below Target Threshold,Low Propensity,1,10,2.39
87,56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,yes,1,0,0,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,24.45,No previous contact,0,No loans,0,0,5,Q2,0.13792136602396265,13.79,0,Below Target Threshold,Low Propensity,1,10,3.47
88,41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes,1,0,1,0,0,,40-49,3,"1,001-5,000",3,0,1 contact,1,23.15,No previous contact,0,Housing loan only,1,0,5,Q2,0.19671713358067675,19.67,0,Below Target Threshold,Low Propensity,1,9,14.81
89,46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,no,0,0,1,1,0,,40-49,3,"0-1,000",2,0,2-3 contacts,2,3.13,No previous contact,0,Housing + personal loans,2,0,5,Q2,0.17928189700484612,17.93,0,Below Target Threshold,Low Propensity,1,9,11.07
