age,balance,campaign,previous,previously_contacted,days_since_previous_contact,negative_balance_flag,previous_campaign_success_flag,active_loan_count,contact_known_flag,job,marital,education,default,housing,loan,contact,month,poutcome,subscription_flag
42,1689,2,0,0,0.0,0,0,1,1,technician,divorced,secondary,no,yes,no,cellular,jul,unknown,0
26,689,2,0,0,0.0,0,0,0,1,student,single,unknown,no,no,no,cellular,may,unknown,1
43,733,3,0,0,0.0,0,0,1,1,admin.,single,secondary,no,yes,no,cellular,nov,unknown,1
33,5034,3,0,0,0.0,0,0,1,0,services,married,secondary,no,yes,no,unknown,may,unknown,0
27,4,1,0,0,0.0,0,0,1,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,0
29,-20,2,0,0,0.0,1,0,1,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,1
44,0,1,0,0,0.0,0,0,1,0,services,single,secondary,no,yes,no,unknown,may,unknown,0
48,269,2,0,0,0.0,0,0,1,1,management,married,tertiary,no,yes,no,cellular,jul,unknown,0
32,792,2,0,0,0.0,0,0,0,1,technician,single,secondary,no,no,no,cellular,aug,unknown,0
50,1064,2,0,0,0.0,0,0,1,1,blue-collar,married,primary,no,yes,no,cellular,aug,unknown,0
44,5418,5,0,0,0.0,0,0,2,1,management,married,primary,no,yes,yes,cellular,jul,unknown,0
36,7606,1,0,0,0.0,0,0,1,0,management,single,tertiary,no,yes,no,unknown,may,unknown,1
58,92,1,0,0,0.0,0,0,1,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,0
58,1533,2,0,0,0.0,0,0,0,0,management,divorced,tertiary,no,no,no,unknown,may,unknown,0
41,-22,2,0,0,0.0,1,0,1,0,admin.,single,secondary,no,yes,no,unknown,jun,unknown,0
28,107,13,0,0,0.0,0,0,1,1,technician,married,tertiary,no,yes,no,cellular,jul,unknown,0
33,687,1,0,0,0.0,0,0,1,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,0
26,1275,9,0,0,0.0,0,0,1,0,technician,single,secondary,no,yes,no,unknown,jun,unknown,0
47,926,1,5,1,403.0,0,1,0,1,unemployed,married,secondary,no,no,no,cellular,aug,success,1
34,29,5,0,0,0.0,0,0,1,1,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,1
49,3348,1,0,0,0.0,0,0,0,1,blue-collar,married,secondary,no,no,no,cellular,aug,unknown,0
44,368,3,0,0,0.0,0,0,0,1,management,married,tertiary,no,no,no,cellular,jul,unknown,0
37,0,1,0,0,0.0,0,0,2,1,blue-collar,single,primary,no,yes,yes,cellular,jul,unknown,0
31,393,1,0,0,0.0,0,0,1,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,0
57,473,1,0,0,0.0,0,0,0,0,housemaid,married,primary,no,no,no,unknown,jun,unknown,0
31,199,1,0,0,0.0,0,0,1,0,unemployed,single,secondary,no,yes,no,unknown,may,unknown,0
50,413,2,0,0,0.0,0,0,1,0,technician,married,unknown,no,yes,no,unknown,may,unknown,0
46,1114,3,0,0,0.0,0,0,1,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,0
65,3195,1,0,0,0.0,0,0,0,1,unemployed,married,secondary,no,no,no,telephone,mar,unknown,1
31,554,1,1,1,6.0,0,0,1,1,admin.,single,secondary,no,yes,no,cellular,feb,failure,0
29,0,3,0,0,0.0,0,0,2,0,self-employed,married,tertiary,yes,yes,yes,unknown,jun,unknown,0
51,5108,1,8,1,102.0,0,0,1,1,management,married,tertiary,no,yes,no,cellular,oct,other,0
35,5250,2,1,1,146.0,0,0,1,1,admin.,married,secondary,no,yes,no,cellular,apr,failure,0
40,5745,1,0,0,0.0,0,0,2,0,services,divorced,secondary,no,yes,yes,unknown,may,unknown,0
42,2816,2,0,0,0.0,0,0,0,1,management,married,tertiary,no,no,no,cellular,nov,unknown,1
24,1719,4,0,0,0.0,0,0,0,1,student,single,secondary,no,no,no,cellular,aug,unknown,0
59,259,4,0,0,0.0,0,0,0,1,housemaid,divorced,primary,no,no,no,cellular,jul,unknown,0
36,0,1,0,0,0.0,0,0,1,0,services,married,primary,no,yes,no,unknown,jun,unknown,1
37,508,1,0,0,0.0,0,0,2,1,blue-collar,married,primary,no,yes,yes,cellular,may,unknown,0
59,935,3,2,1,166.0,0,0,1,1,housemaid,married,primary,no,yes,no,cellular,nov,failure,0
25,53,2,0,0,0.0,0,0,1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0
31,-556,2,0,0,0.0,1,0,1,1,technician,married,secondary,no,yes,no,cellular,aug,unknown,0
75,3881,3,0,0,0.0,0,0,1,1,retired,divorced,primary,no,yes,no,cellular,feb,unknown,1
39,425,3,0,0,0.0,0,0,1,1,technician,married,secondary,no,yes,no,cellular,aug,unknown,0
37,3452,9,0,0,0.0,0,0,1,1,management,single,tertiary,no,yes,no,cellular,aug,unknown,0
48,2083,3,0,0,0.0,0,0,0,1,blue-collar,married,secondary,no,no,no,cellular,aug,unknown,0
31,1130,5,0,0,0.0,0,0,1,1,admin.,married,secondary,no,yes,no,cellular,jul,unknown,0
45,0,5,0,0,0.0,0,0,2,0,technician,married,secondary,no,yes,yes,unknown,jun,unknown,0
53,289,1,0,0,0.0,0,0,0,1,self-employed,single,unknown,no,no,no,cellular,feb,unknown,0
28,290,1,0,0,0.0,0,0,1,1,services,single,secondary,no,yes,no,cellular,may,unknown,0
42,2397,2,2,1,320.0,0,0,1,1,admin.,divorced,secondary,no,yes,no,cellular,apr,failure,0
35,393,2,0,0,0.0,0,0,0,1,technician,married,tertiary,no,no,no,cellular,aug,unknown,0
52,4015,2,0,0,0.0,0,0,1,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,0
45,407,1,0,0,0.0,0,0,1,1,unemployed,divorced,primary,no,yes,no,cellular,apr,unknown,0
48,300,8,0,0,0.0,0,0,1,1,services,married,secondary,no,no,yes,cellular,jul,unknown,0
30,4,1,0,0,0.0,0,0,1,1,management,single,tertiary,no,yes,no,cellular,jul,unknown,0
42,1654,1,0,0,0.0,0,0,0,0,entrepreneur,married,tertiary,no,no,no,unknown,jun,unknown,0
34,5754,1,1,1,181.0,0,0,1,1,management,divorced,tertiary,no,yes,no,cellular,nov,failure,0
32,3201,1,5,1,178.0,0,0,1,1,blue-collar,single,secondary,no,yes,no,cellular,nov,failure,0
31,271,1,0,0,0.0,0,0,1,1,technician,single,secondary,no,yes,no,cellular,may,unknown,0
50,0,2,0,0,0.0,0,0,1,0,technician,single,tertiary,no,yes,no,unknown,may,unknown,0
29,275,1,0,0,0.0,0,0,1,1,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0
34,84,1,0,0,0.0,0,0,0,1,management,single,tertiary,no,no,no,cellular,feb,unknown,0
41,988,2,0,0,0.0,0,0,0,1,technician,divorced,secondary,no,no,no,cellular,aug,unknown,0
40,3736,3,0,0,0.0,0,0,1,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,0
37,343,1,7,1,304.0,0,0,2,1,services,married,secondary,no,yes,yes,cellular,may,failure,0
26,10086,3,2,1,78.0,0,1,0,1,student,single,tertiary,no,no,no,cellular,jul,success,0
39,290,1,1,1,336.0,0,0,1,1,blue-collar,single,secondary,no,yes,no,cellular,may,other,0
51,5403,1,0,0,0.0,0,0,1,1,entrepreneur,married,secondary,no,yes,no,cellular,nov,unknown,0
39,499,1,0,0,0.0,0,0,1,1,blue-collar,married,primary,no,yes,no,cellular,may,unknown,0
38,4592,1,0,0,0.0,0,0,1,1,blue-collar,married,primary,no,yes,no,cellular,may,unknown,0
38,884,1,2,1,111.0,0,0,2,1,technician,single,secondary,no,yes,yes,cellular,nov,failure,0
37,3068,2,1,1,195.0,0,0,2,1,technician,divorced,secondary,no,yes,yes,cellular,nov,other,1
30,1015,8,0,0,0.0,0,0,1,1,services,married,primary,no,yes,no,cellular,jul,unknown,0
61,3114,1,0,0,0.0,0,0,0,1,retired,married,secondary,no,no,no,cellular,nov,unknown,1
26,150,1,0,0,0.0,0,0,1,0,technician,single,secondary,no,yes,no,unknown,may,unknown,0
43,0,1,0,0,0.0,0,0,1,0,entrepreneur,married,secondary,no,yes,no,unknown,jun,unknown,0
48,906,9,0,0,0.0,0,0,1,1,management,single,tertiary,no,yes,no,telephone,jul,unknown,0
48,558,6,0,0,0.0,0,0,0,1,unknown,married,unknown,no,no,no,cellular,aug,unknown,0
32,901,3,0,0,0.0,0,0,1,0,technician,married,secondary,no,yes,no,unknown,may,unknown,0
35,-215,34,0,0,0.0,1,0,1,1,technician,married,secondary,no,no,yes,cellular,jul,unknown,0
30,3849,2,0,0,0.0,0,0,0,1,management,single,tertiary,no,no,no,telephone,aug,unknown,0
53,960,1,2,1,687.0,0,0,1,0,blue-collar,married,unknown,no,no,yes,unknown,jun,other,0
28,23,1,0,0,0.0,0,0,0,1,unemployed,single,secondary,no,no,no,cellular,jan,unknown,0
43,642,2,0,0,0.0,0,0,0,1,services,married,secondary,no,no,no,cellular,jul,unknown,0
50,349,17,0,0,0.0,0,0,1,1,technician,married,secondary,no,yes,no,telephone,jul,unknown,0
30,33,2,0,0,0.0,0,0,1,1,technician,married,secondary,no,yes,no,cellular,may,unknown,0
57,0,4,0,0,0.0,0,0,0,1,retired,married,primary,no,no,no,cellular,aug,unknown,0
37,0,1,0,0,0.0,0,0,0,0,blue-collar,single,primary,no,no,no,unknown,jun,unknown,0
37,83,1,1,1,363.0,0,0,1,1,technician,married,secondary,no,yes,no,cellular,may,failure,0
32,2667,1,4,1,181.0,0,0,1,1,management,married,tertiary,no,yes,no,cellular,mar,failure,1
26,1600,3,0,0,0.0,0,0,2,0,services,divorced,secondary,no,yes,yes,unknown,may,unknown,0
42,2636,2,1,1,151.0,0,0,0,1,unemployed,married,primary,no,no,no,cellular,nov,failure,0
32,130,2,0,0,0.0,0,0,1,1,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0
36,539,2,1,1,477.0,0,0,1,1,technician,single,secondary,no,yes,no,cellular,aug,failure,1
35,71,12,0,0,0.0,0,0,1,0,management,single,tertiary,no,yes,no,unknown,may,unknown,0
35,-37,2,0,0,0.0,1,0,2,0,blue-collar,single,secondary,no,yes,yes,unknown,jun,unknown,0
42,56,1,0,0,0.0,0,0,1,0,retired,married,secondary,no,yes,no,unknown,may,unknown,0
44,316,1,0,0,0.0,0,0,1,1,entrepreneur,divorced,tertiary,no,yes,no,cellular,nov,unknown,0
51,47,4,0,0,0.0,0,0,0,1,technician,married,secondary,no,no,no,cellular,aug,unknown,0
36,5957,2,0,0,0.0,0,0,1,1,technician,divorced,secondary,no,yes,no,cellular,nov,unknown,0
37,785,2,0,0,0.0,0,0,1,1,management,married,tertiary,no,yes,no,cellular,nov,unknown,0
40,677,3,0,0,0.0,0,0,1,1,technician,married,tertiary,no,yes,no,cellular,apr,unknown,0
30,265,1,0,0,0.0,0,0,2,0,blue-collar,married,primary,no,yes,yes,unknown,may,unknown,0
30,5903,1,1,1,363.0,0,0,1,1,blue-collar,married,secondary,no,yes,no,cellular,may,failure,0
33,372,2,0,0,0.0,0,0,1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0
36,1173,5,0,0,0.0,0,0,2,0,self-employed,single,secondary,no,yes,yes,unknown,jun,unknown,0
34,966,1,3,1,101.0,0,0,1,1,management,single,tertiary,no,yes,no,cellular,nov,failure,0
35,1,2,0,0,0.0,0,0,1,0,management,married,secondary,no,yes,no,unknown,may,unknown,0
34,1433,3,0,0,0.0,0,0,0,1,management,married,tertiary,no,no,no,cellular,aug,unknown,0
33,322,3,0,0,0.0,0,0,1,1,management,married,tertiary,no,yes,no,cellular,apr,unknown,0
51,285,2,0,0,0.0,0,0,0,1,management,married,tertiary,no,no,no,cellular,feb,unknown,0
36,16430,3,0,0,0.0,0,0,1,0,self-employed,married,tertiary,no,yes,no,unknown,jun,unknown,0
32,937,1,2,1,94.0,0,0,0,1,management,married,tertiary,no,no,no,cellular,aug,failure,0
35,0,2,0,0,0.0,0,0,1,1,technician,single,tertiary,no,yes,no,telephone,aug,unknown,0
39,804,1,0,0,0.0,0,0,1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0
54,211,2,0,0,0.0,0,0,0,0,blue-collar,married,primary,no,no,no,unknown,jun,unknown,0
30,1572,1,0,0,0.0,0,0,0,1,management,single,tertiary,no,no,no,cellular,jan,unknown,0
23,525,1,0,0,0.0,0,0,1,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,0
30,15,1,0,0,0.0,0,0,1,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,0
30,-269,2,0,0,0.0,1,0,1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0
32,392,2,0,0,0.0,0,0,1,1,technician,single,tertiary,no,yes,no,cellular,nov,unknown,0
60,1740,2,0,0,0.0,0,0,0,1,technician,married,secondary,no,no,no,cellular,mar,unknown,1
36,-2,2,0,0,0.0,1,0,0,1,management,married,tertiary,no,no,no,cellular,aug,unknown,0
51,125,2,0,0,0.0,0,0,1,0,blue-collar,married,unknown,no,yes,no,unknown,may,unknown,0
30,914,3,1,1,272.0,0,0,1,1,admin.,single,secondary,no,yes,no,cellular,oct,failure,1
39,47,1,0,0,0.0,0,0,1,0,technician,single,tertiary,no,yes,no,unknown,may,unknown,0
58,4265,2,0,0,0.0,0,0,1,0,management,married,tertiary,no,yes,no,unknown,may,unknown,0
54,258,1,1,1,88.0,0,0,0,1,blue-collar,married,primary,no,no,no,telephone,may,failure,0
30,2568,1,4,1,100.0,0,0,0,1,admin.,single,secondary,no,no,no,cellular,sep,other,1
54,0,3,0,0,0.0,0,0,1,1,admin.,married,primary,no,yes,no,cellular,jan,unknown,0
45,3601,2,0,0,0.0,0,0,1,0,technician,married,secondary,no,yes,no,unknown,may,unknown,0
35,670,1,0,0,0.0,0,0,0,1,self-employed,married,secondary,no,no,no,cellular,jul,unknown,0
27,771,1,3,1,302.0,0,0,0,1,unemployed,single,secondary,no,no,no,cellular,oct,other,1
48,145,5,0,0,0.0,0,0,1,1,technician,divorced,secondary,no,yes,no,cellular,aug,unknown,0
31,55,2,0,0,0.0,0,0,2,1,blue-collar,married,primary,no,yes,yes,cellular,apr,unknown,0
24,-220,1,0,0,0.0,1,0,1,1,blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,0
59,0,7,0,0,0.0,0,0,1,0,retired,married,primary,no,yes,no,unknown,may,unknown,0
48,3644,9,0,0,0.0,0,0,2,1,admin.,married,primary,no,yes,yes,telephone,jul,unknown,1
46,1074,2,0,0,0.0,0,0,1,1,blue-collar,divorced,secondary,no,yes,no,cellular,may,unknown,0
31,477,5,0,0,0.0,0,0,1,1,management,married,tertiary,no,yes,no,cellular,nov,unknown,0
40,178,1,0,0,0.0,0,0,1,1,admin.,single,secondary,no,yes,no,cellular,may,unknown,0
34,164,2,0,0,0.0,0,0,0,1,unknown,married,unknown,no,no,no,cellular,aug,unknown,0
58,446,2,0,0,0.0,0,0,0,1,unemployed,married,primary,no,no,no,cellular,jan,unknown,0
27,1531,1,4,1,367.0,0,0,1,1,management,married,tertiary,no,yes,no,cellular,may,failure,0
30,799,1,0,0,0.0,0,0,0,0,blue-collar,single,secondary,no,no,no,unknown,jun,unknown,1
35,-718,1,0,0,0.0,1,0,1,1,services,divorced,secondary,no,yes,no,cellular,nov,unknown,0
49,662,2,0,0,0.0,0,0,0,0,technician,married,secondary,no,no,no,unknown,jun,unknown,0
38,691,1,0,0,0.0,0,0,2,1,management,married,tertiary,no,yes,yes,cellular,aug,unknown,0
37,1743,1,2,1,113.0,0,0,1,1,management,single,tertiary,no,yes,no,cellular,nov,failure,0
36,1089,5,4,1,175.0,0,0,1,1,admin.,divorced,secondary,no,yes,no,telephone,may,other,0
29,-803,1,9,1,329.0,1,0,2,1,technician,single,tertiary,no,yes,yes,cellular,may,failure,0
46,-1361,1,0,0,0.0,1,0,2,1,technician,divorced,secondary,yes,yes,yes,cellular,nov,unknown,0
28,6817,4,0,0,0.0,0,0,1,1,management,single,tertiary,no,yes,no,cellular,feb,unknown,0
30,0,3,0,0,0.0,0,0,0,1,admin.,single,secondary,no,no,no,cellular,sep,unknown,1
58,2261,1,1,1,391.0,0,0,1,1,management,married,tertiary,no,yes,no,cellular,jun,failure,0
30,-10,1,0,0,0.0,1,0,1,1,blue-collar,single,primary,no,no,yes,cellular,feb,unknown,0
32,4,1,0,0,0.0,0,0,1,1,technician,single,tertiary,no,yes,no,cellular,apr,unknown,0
46,4301,1,2,1,183.0,0,0,2,1,management,married,tertiary,no,yes,yes,cellular,nov,failure,0
46,399,2,0,0,0.0,0,0,1,0,technician,married,secondary,no,yes,no,unknown,jun,unknown,0
33,0,2,0,0,0.0,0,0,1,1,services,married,primary,no,yes,no,cellular,jul,unknown,0
33,177,1,0,0,0.0,0,0,1,0,technician,single,secondary,no,yes,no,unknown,may,unknown,0
55,1665,2,0,0,0.0,0,0,0,1,blue-collar,married,unknown,no,no,no,telephone,jul,unknown,0
44,2416,3,0,0,0.0,0,0,1,0,services,divorced,secondary,no,yes,no,unknown,may,unknown,0
57,698,3,2,1,191.0,0,0,0,1,retired,divorced,primary,no,no,no,telephone,dec,failure,0
35,424,4,0,0,0.0,0,0,1,1,admin.,single,secondary,no,yes,no,cellular,apr,unknown,0
29,0,1,0,0,0.0,0,0,0,1,blue-collar,married,secondary,no,no,no,cellular,jul,unknown,0
30,300,1,0,0,0.0,0,0,0,1,student,single,tertiary,no,no,no,cellular,feb,unknown,0
30,126,2,0,0,0.0,0,0,0,1,technician,single,secondary,no,no,no,cellular,aug,unknown,0
53,1554,1,0,0,0.0,0,0,0,0,retired,married,secondary,no,no,no,unknown,jun,unknown,0
30,1535,4,0,0,0.0,0,0,0,1,admin.,single,tertiary,no,no,no,cellular,aug,unknown,0
31,1545,1,0,0,0.0,0,0,2,1,blue-collar,married,secondary,no,yes,yes,cellular,may,unknown,0
31,8279,2,0,0,0.0,0,0,0,1,management,married,tertiary,no,no,no,cellular,aug,unknown,0
53,757,5,0,0,0.0,0,0,0,1,technician,married,secondary,no,no,no,cellular,feb,unknown,0
43,73,2,0,0,0.0,0,0,1,1,technician,divorced,secondary,yes,yes,no,cellular,jul,unknown,0
32,2204,4,0,0,0.0,0,0,1,1,technician,single,tertiary,no,yes,no,cellular,nov,unknown,0
36,723,2,0,0,0.0,0,0,1,1,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,0
44,93,1,0,0,0.0,0,0,1,1,blue-collar,married,primary,no,yes,no,cellular,nov,unknown,0
30,57,2,0,0,0.0,0,0,1,1,management,single,tertiary,no,yes,no,cellular,feb,unknown,0
32,1388,1,1,1,105.0,0,1,1,1,management,married,tertiary,no,yes,no,cellular,aug,success,0
23,567,1,0,0,0.0,0,0,2,1,services,single,secondary,no,yes,yes,cellular,may,unknown,0
43,10273,2,0,0,0.0,0,0,0,1,management,married,secondary,no,no,no,cellular,aug,unknown,0
30,8304,1,0,0,0.0,0,0,0,1,unemployed,single,secondary,no,no,no,cellular,apr,unknown,0
32,41,5,0,0,0.0,0,0,0,1,management,single,tertiary,no,no,no,cellular,aug,unknown,1
52,273,2,0,0,0.0,0,0,1,1,blue-collar,married,primary,no,yes,no,cellular,aug,unknown,0
35,2971,2,0,0,0.0,0,0,0,1,entrepreneur,married,secondary,no,no,no,cellular,nov,unknown,0
42,3213,1,0,0,0.0,0,0,0,1,blue-collar,married,secondary,no,no,no,telephone,oct,unknown,0
35,2793,2,0,0,0.0,0,0,0,1,management,married,tertiary,no,no,no,cellular,nov,unknown,0
52,60,2,0,0,0.0,0,0,1,1,blue-collar,married,secondary,no,no,yes,cellular,aug,unknown,0
57,919,2,0,0,0.0,0,0,2,0,retired,married,secondary,no,yes,yes,unknown,may,unknown,0
35,0,1,1,1,305.0,0,0,1,1,blue-collar,single,secondary,no,yes,no,cellular,may,failure,0
71,14220,1,0,0,0.0,0,0,1,1,retired,married,tertiary,no,yes,no,cellular,sep,unknown,1
33,-53,1,0,0,0.0,1,0,1,0,blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,0
51,260,5,0,0,0.0,0,0,0,1,housemaid,married,secondary,no,no,no,cellular,aug,unknown,0
30,2583,3,0,0,0.0,0,0,1,1,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0
36,0,6,0,0,0.0,0,0,1,1,unemployed,single,primary,no,yes,no,telephone,jul,unknown,0
47,303,1,0,0,0.0,0,0,0,0,blue-collar,married,secondary,no,no,no,unknown,jun,unknown,0
44,-298,1,0,0,0.0,1,0,1,1,blue-collar,married,primary,no,yes,no,cellular,may,unknown,0
31,290,1,0,0,0.0,0,0,1,1,entrepreneur,divorced,secondary,no,yes,no,cellular,apr,unknown,0
34,2595,1,2,1,336.0,0,0,2,1,blue-collar,married,secondary,no,yes,yes,cellular,apr,other,0
28,1609,2,3,1,315.0,0,0,1,1,management,single,secondary,no,yes,no,cellular,may,failure,0
36,99,1,1,1,85.0,0,0,2,1,technician,married,tertiary,no,yes,yes,cellular,feb,failure,0
58,1326,1,0,0,0.0,0,0,0,1,retired,married,tertiary,no,no,no,cellular,aug,unknown,0
43,0,1,0,0,0.0,0,0,0,1,blue-collar,single,primary,no,no,no,cellular,jul,unknown,1
28,1532,5,0,0,0.0,0,0,0,1,technician,single,secondary,no,no,no,cellular,feb,unknown,0
33,1076,1,4,1,259.0,0,0,0,1,services,married,secondary,no,no,no,cellular,aug,failure,0
36,300,1,0,0,0.0,0,0,0,0,technician,married,secondary,no,no,no,unknown,jun,unknown,0
